pt,eta,phi,m
947383,824498,-0.523103,1.64421
258722,243675,0.328962,2.25014
520092,108590,-2.2473,-1.85679
383024,88405.6,2.14516,-1.95635
39507.6,35365.1,0.47046,-1.16445
1.06946e+06,751597,0.858186,-1.84217
457647,110079,2.10287,2.17501
676000,640429,0.33045,0.704554
1.2393e+06,602104,1.34324,-0.550856
193865,44825.7,-2.14231,-0.965933
936707,616229,0.973383,-1.56592
640313,589524,0.390749,1.23734
583373,545730,0.364057,-1.60732
123709,88206.3,0.867744,1.4266
47443.5,46891.6,-0.00150656,2.45598
91381.2,38861.6,-1.49279,-0.164922
37600.4,31288.8,0.624681,-0.910782
287305,246753,0.563157,-0.0624737
89818,39684.6,-1.44745,-1.27892
138391,37875.3,-1.9682,3.10888
725985,520934,0.84413,0.958992
160570,79422.9,1.31774,3.08902
537343,529153,0.137884,-2.33127
396737,309154,0.726839,1.14318
291455,234114,-0.685843,2.38049
125503,123705,-0.0631803,-0.190811
39267.9,37879.7,0.05628,1.41777
33299.2,27813.6,0.609665,0.457269
1.05556e+06,1.05246e+06,-0.0320456,-2.67977
625006,587880,0.22586,2.25768
464379,365191,-0.692061,-1.26353
242899,130603,-1.22776,-1.99661
303643,121020,1.56791,-0.618577
163165,37092,2.16014,-1.17486
522824,411351,-0.716307,0.954073
506999,161394,1.80817,2.56868
483221,371787,-0.754554,2.58584
388914,346583,-0.476305,-1.09533
722624,704199,-0.219317,-1.96891
106984,71343.5,-0.957648,-2.39408
534575,529280,-0.111663,-1.16549
437028,158349,-1.67229,0.991625
51260.3,44105.6,0.537332,-1.60678
84372.9,43277.6,1.27981,-1.9447
498926,496904,0.0577043,-0.208137
144898,113339,-0.719641,0.601117
1.31123e+06,384930,1.89568,1.61223
149712,113604,-0.763686,2.7407
89616.4,74095.6,0.621493,-2.4097
2.01959e+06,990555,1.33227,-2.5772
209754,198384,0.329607,0.990548
380664,61243.9,2.51245,-1.05481
752700,45738.4,-3.49279,-2.09955
676587,565498,-0.611223,0.91399
397771,391036,-0.0431479,-2.67217
274121,211069,-0.753259,0.821227
326774,103781,-1.81083,2.8251
166237,75907.3,-1.41593,1.51757
815050,678926,-0.612176,-0.340187
100931,96013.3,0.102464,-0.897444
563461,518250,-0.373418,-2.40458
236838,59513,2.05376,1.00509
566770,529363,-0.368119,-1.09293
226385,89217.1,1.58178,0.832402
137208,75952.8,-1.18717,0.467469
44972.4,36392.7,-0.651147,-0.151381
802978,606971,-0.779902,0.200783
987634,85269,-3.14067,-2.48546
63387.4,31979.1,-1.30274,-0.253451
1.00737e+06,563718,-1.18241,-2.90471
142520,70188.4,1.32675,1.90633
55872.6,55253,-0.0945492,1.53787
437053,316767,-0.839672,-1.64205
262496,259459,0.00371627,-2.89282
598363,594046,-0.0959355,3.07611
606333,579035,0.273083,1.31517
51642,51286.6,-0.00171102,2.17065
856115,401965,-1.38752,1.17301
333439,320681,-0.177055,1.39142
206279,203828,-0.0478903,0.253447
421281,188296,1.44285,-1.02508
749991,79579.6,2.9335,-2.41661
201198,44057.2,-2.19805,-2.01513
